,name,label
923,ff1010bird\ff1010bird_wav\wav\bird\18515.wav,0
3470,ff1010bird\ff1010bird_wav\wav\not_bird\148101.wav,1
1695,ff1010bird\ff1010bird_wav\wav\bird\75088.wav,0
5982,ff1010bird\ff1010bird_wav\wav\not_bird\53938.wav,1
3791,ff1010bird\ff1010bird_wav\wav\not_bird\157398.wav,1
20,ff1010bird\ff1010bird_wav\wav\bird\101423.wav,0
5824,ff1010bird\ff1010bird_wav\wav\not_bird\46850.wav,1
3180,ff1010bird\ff1010bird_wav\wav\not_bird\140789.wav,1
7491,ff1010bird\ff1010bird_wav\wav\not_bird\91765.wav,1
256,ff1010bird\ff1010bird_wav\wav\bird\120147.wav,0
7615,ff1010bird\ff1010bird_wav\wav\not_bird\95818.wav,1
99,ff1010bird\ff1010bird_wav\wav\bird\108760.wav,0
1580,ff1010bird\ff1010bird_wav\wav\bird\69090.wav,0
1252,ff1010bird\ff1010bird_wav\wav\bird\40835.wav,0
3486,ff1010bird\ff1010bird_wav\wav\not_bird\14853.wav,1
6385,ff1010bird\ff1010bird_wav\wav\not_bird\61639.wav,1
3449,ff1010bird\ff1010bird_wav\wav\not_bird\147930.wav,1
6943,ff1010bird\ff1010bird_wav\wav\not_bird\75071.wav,1
3881,ff1010bird\ff1010bird_wav\wav\not_bird\158753.wav,1
1310,ff1010bird\ff1010bird_wav\wav\bird\48983.wav,0
7011,ff1010bird\ff1010bird_wav\wav\not_bird\76884.wav,1
3659,ff1010bird\ff1010bird_wav\wav\not_bird\155193.wav,1
3660,ff1010bird\ff1010bird_wav\wav\not_bird\155194.wav,1
1673,ff1010bird\ff1010bird_wav\wav\bird\73509.wav,0
4613,ff1010bird\ff1010bird_wav\wav\not_bird\177858.wav,1
2915,ff1010bird\ff1010bird_wav\wav\not_bird\128616.wav,1
3267,ff1010bird\ff1010bird_wav\wav\not_bird\143956.wav,1
2297,ff1010bird\ff1010bird_wav\wav\not_bird\113338.wav,1
380,ff1010bird\ff1010bird_wav\wav\bird\133494.wav,0
6115,ff1010bird\ff1010bird_wav\wav\not_bird\56171.wav,1
7443,ff1010bird\ff1010bird_wav\wav\not_bird\90411.wav,1
3931,ff1010bird\ff1010bird_wav\wav\not_bird\160041.wav,1
6593,ff1010bird\ff1010bird_wav\wav\not_bird\65671.wav,1
1692,ff1010bird\ff1010bird_wav\wav\bird\74945.wav,0
815,ff1010bird\ff1010bird_wav\wav\bird\17508.wav,0
6993,ff1010bird\ff1010bird_wav\wav\not_bird\76369.wav,1
6007,ff1010bird\ff1010bird_wav\wav\not_bird\54810.wav,1
4773,ff1010bird\ff1010bird_wav\wav\not_bird\184639.wav,1
1836,ff1010bird\ff1010bird_wav\wav\bird\93074.wav,0
7123,ff1010bird\ff1010bird_wav\wav\not_bird\78926.wav,1
6862,ff1010bird\ff1010bird_wav\wav\not_bird\73126.wav,1
5313,ff1010bird\ff1010bird_wav\wav\not_bird\29982.wav,1
4824,ff1010bird\ff1010bird_wav\wav\not_bird\186518.wav,1
5094,ff1010bird\ff1010bird_wav\wav\not_bird\19938.wav,1
2295,ff1010bird\ff1010bird_wav\wav\not_bird\113336.wav,1
6381,ff1010bird\ff1010bird_wav\wav\not_bird\61635.wav,1
5235,ff1010bird\ff1010bird_wav\wav\not_bird\2532.wav,1
2968,ff1010bird\ff1010bird_wav\wav\not_bird\131237.wav,1
3635,ff1010bird\ff1010bird_wav\wav\not_bird\155113.wav,1
1949,ff1010bird\ff1010bird_wav\wav\not_bird\100839.wav,1
4941,ff1010bird\ff1010bird_wav\wav\not_bird\189847.wav,1
3263,ff1010bird\ff1010bird_wav\wav\not_bird\14387.wav,1
6709,ff1010bird\ff1010bird_wav\wav\not_bird\69203.wav,1
6424,ff1010bird\ff1010bird_wav\wav\not_bird\62512.wav,1
1524,ff1010bird\ff1010bird_wav\wav\bird\62276.wav,0
5908,ff1010bird\ff1010bird_wav\wav\not_bird\50126.wav,1
3661,ff1010bird\ff1010bird_wav\wav\not_bird\155195.wav,1
4666,ff1010bird\ff1010bird_wav\wav\not_bird\179390.wav,1
7408,ff1010bird\ff1010bird_wav\wav\not_bird\89947.wav,1
