,name,label
163,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\18025968-81ba-4c56-9b34.wav,1
6180,warblrb10k_public\warblrb10k_public_wav\wav\bird\b2e93f4b-1b5f-473a-9503.wav,0
5212,warblrb10k_public\warblrb10k_public_wav\wav\bird\8a588119-4170-463a-a243.wav,0
2610,warblrb10k_public\warblrb10k_public_wav\wav\bird\1d1bfeca-4cdd-4b6e-b63e.wav,0
6518,warblrb10k_public\warblrb10k_public_wav\wav\bird\c09a53bf-877d-44c4-a7fb.wav,0
6789,warblrb10k_public\warblrb10k_public_wav\wav\bird\cb3df232-7772-4f91-8e27.wav,0
3140,warblrb10k_public\warblrb10k_public_wav\wav\bird\3344ea6e-1082-4b1f-91cb.wav,0
2586,warblrb10k_public\warblrb10k_public_wav\wav\bird\1c027640-d8b4-401f-8f7b.wav,0
5835,warblrb10k_public\warblrb10k_public_wav\wav\bird\a463c351-6a77-47ab-9a4e.wav,0
1488,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\c8115f4b-cdea-4c42-af95.wav,1
7328,warblrb10k_public\warblrb10k_public_wav\wav\bird\e2c1b9e7-6465-4d81-ab07.wav,0
7681,warblrb10k_public\warblrb10k_public_wav\wav\bird\f2e5b69f-3544-4fa9-9477.wav,0
4005,warblrb10k_public\warblrb10k_public_wav\wav\bird\55e45675-794e-4e74-893d.wav,0
2759,warblrb10k_public\warblrb10k_public_wav\wav\bird\23033704-fd51-4b35-b9f8.wav,0
7561,warblrb10k_public\warblrb10k_public_wav\wav\bird\edc0b430-1d8a-4683-9815.wav,0
1501,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\c948e7fb-9f53-4f00-97fe.wav,1
2684,warblrb10k_public\warblrb10k_public_wav\wav\bird\20414944-af4a-4af7-af0d.wav,0
1967,warblrb10k_public\warblrb10k_public_wav\wav\bird\0090e1d1-1987-49f2-a14f.wav,0
6344,warblrb10k_public\warblrb10k_public_wav\wav\bird\b9e5c244-d615-48b7-b7a4.wav,0
7730,warblrb10k_public\warblrb10k_public_wav\wav\bird\f4560882-e3c7-47f5-af89.wav,0
827,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\71d4041a-40af-4ebc-9a04.wav,1
7266,warblrb10k_public\warblrb10k_public_wav\wav\bird\dfbffa75-ad3c-49e8-9fd9.wav,0
3867,warblrb10k_public\warblrb10k_public_wav\wav\bird\502ef532-e8a7-40b1-9b6c.wav,0
7756,warblrb10k_public\warblrb10k_public_wav\wav\bird\f5a9c8a4-e017-4b1e-9368.wav,0
730,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\653ff836-54a1-47fe-bbbf.wav,1
5804,warblrb10k_public\warblrb10k_public_wav\wav\bird\a291f58a-51ac-425f-89ea.wav,0
834,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\7238f21e-d2af-42ce-97c2.wav,1
4991,warblrb10k_public\warblrb10k_public_wav\wav\bird\8054df7d-7171-401b-a96e.wav,0
7685,warblrb10k_public\warblrb10k_public_wav\wav\bird\f2fe5670-4f76-422e-8fe5.wav,0
2050,warblrb10k_public\warblrb10k_public_wav\wav\bird\041f9eaa-849a-4556-ba38.wav,0
3441,warblrb10k_public\warblrb10k_public_wav\wav\bird\3f1032b9-8932-47a2-9a29.wav,0
3736,warblrb10k_public\warblrb10k_public_wav\wav\bird\4a8b3bc3-6b92-4b91-9a9d.wav,0
310,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\2b4cfc40-0b4e-42f7-8300.wav,1
7582,warblrb10k_public\warblrb10k_public_wav\wav\bird\eeac7916-218f-48f5-9f7e.wav,0
503,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\45257f3f-cd5e-4e2c-9ac6.wav,1
721,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\6453364b-f6af-4ecc-9307.wav,1
