INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc522988.wav,2.108413,,,,,,,,,,,,,,,,,,,1,,,,,,jhoBLJG4IRwccPC4vDAofQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,European Nightjar,xc481982.wav,13.473991,,,,,,,,,,,,,,,,,,,1,,,,,,SELi1PX8KvV22kX/91j+QQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Marsh Tit,xc447478.wav,19.408979,,,,,,,,,,,,,,,,,,,1,,,,,,GPasVhNQ9sEVwIXwi/srOQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc424965.wav,25.68084,,,,,,,,,,,,,,,,,,,1,,,,,,2PZX+Nw7RPTWNy5DIRK0og==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc231482.wav,25.077551,,,,,,,,,,,,,,,,,,,1,,,,,,V+wlZmFqyn95WSD2HjoiqQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Marsh Tit,xc553349.wav,61.267799,,,,,,,,,,,,,,,,,,,1,,,,,,b6OyZwAsZj5UMWgl7fLE2w==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc528508.wav,31.004581,,,,,,,,,,,,,,,,,,,1,,,,,,yoyIeRbLy+9DLGNDkhOaNg==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc425909.wav,7.031479,,,,,,,,,,,,,,,,,,,1,,,,,,ifmnEnqo8S/D59GXSm2daA==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc236617.wav,11.572245,,,,,,,,,,,,,,,,,,,1,,,,,,wuminRxZSMX56Uvz2CBFgg==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc534748.wav,3.898917,,,,,,,,,,,,,,,,,,,1,,,,,,0qCIbo+l2dcqt7mXIPqMUQ==
