"","name","aci","h","m","ndsi","q","adi","aei","bi"
"x","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc511685_left_start_0_0.wav",156.14957462071,0.606971943275101,0.00219136767623716,0.986814512493316,16.0161067648413,1.525516,0.627635,13.4656079771822
"x1","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc511685_left_start_0_15.wav",158.852546398935,0.594749094676193,0.00221476600365811,0.984042734928565,15.7405142677956,1.409368,0.67081,13.3893740040535
"x2","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc511685_left_start_0_30.wav",155.347908334073,0.58639969429361,0.00106094654134432,0.993883546635301,21.0207444746025,1.454198,0.651459,13.0184604259979
"x3","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc511685_left_start_0_45.wav",158.175408752345,0.595532225934815,0.0014206612779203,0.987137100082602,34.4076838032063,1.384054,0.677608,13.3477468582673
"x4","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc532306_left_start_0_0.wav",153.120991007381,0.651743067272313,0.00418003838055595,0.641050597110556,22.6646888567294,1.895545,0.47856,13.5087015575228
"x5","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc532306_left_start_0_15.wav",154.776103303974,0.665781598842575,0.00399964188070906,0.50486747093753,13.8069451607358,1.942866,0.454096,11.3190592938144
"x6","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc533173_left_start_0_0.wav",181.908720052865,0.688117418895446,0.00247319269778462,0.883714914354196,23.2530268468152,1.721274,0.56567,31.3287847555374
"x7","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc533173_left_start_0_15.wav",170.113137090648,0.688510097565179,0.00210678796942827,0.926982112901848,11.215757011521,1.627812,0.605916,29.4636078002726
"x8","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc538532_start_0_0.wav",153.274517632014,0.729329958035142,0.00164647804140278,0.700483398461618,15.7882051282051,1.454736,0.662078,8.14650978687132
"x9","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc538532_start_0_15.wav",156.576164650854,0.696867769619787,0.00248769165821669,0.706210526661104,3.21830421541914,1.582103,0.626477,9.86012777578916
"x10","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc538532_start_0_30.wav",155.430694085132,0.819673247978285,0.00170918961676902,0.743358484620648,2.19764684421744,1.431101,0.675523,7.56475706878253
"x11","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc538532_start_0_45.wav",154.289126508513,0.809015177073197,0.00224249537124832,0.638711671800721,9.07191265060241,1.660607,0.589687,8.77174688129796
"x12","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc538532_start_1_0.wav",154.958476905478,0.831650826012414,0.00162739737097904,0.38398227850423,2.08569202804466,1.477423,0.665327,5.61474787119396
"x13","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc552836_left_start_0_0.wav",167.816422037022,0.723321046624271,0.012273181120244,0.924980716589693,1.64119329791582,1.851694,0.477109,12.370083271531
"x14","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_0_0.wav",153.605988184976,0.850173376256267,0.00391505748901391,0.913724233124389,25.342316220365,1.997024,0.365836,14.6480861974494
"x15","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_0_15.wav",155.012803862169,0.822712244243296,0.00422476669735363,0.944233210056536,24.1411885949846,1.84381,0.481361,12.6341721733472
"x16","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_0_30.wav",155.437696108813,0.824918823220293,0.00489227115227117,0.909601114769439,16.1345238095238,1.823689,0.472559,13.1824742513156
