id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
672816,Haematopus,ostralegus,,Eurasian Oystercatcher,Martin Wood,United Kingdom,Wimborne Dorset,50.8024,-1.9836,20,nocturnal flight call,//www.xeno-canto.org/672816,//www.xeno-canto.org/672816/download,XC672816-Unkown 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC672816-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC672816-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC672816-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC672816-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,00:30,2021-05-02,2021-09-07,[''],"I was going back through some of my recordings and came across this one from May 2nd 2021,
Anyone able to advise what species is making the call or point me in the right direction to look it up? I was thinking some think like Ringed Plover or Common Sandpiper.

Edit Confirmed as Eurasian Oystercatcher",no,no
671592,Haematopus,ostralegus,,Eurasian Oystercatcher,Andrew Cobley,United Kingdom,"Great Britain (near  Allesley), West Midlands, England",52.4267,-1.5596,100,nocturnal flight call,//www.xeno-canto.org/671592,//www.xeno-canto.org/671592/download,XC671592-230821 2323.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GHCWRCLUBR/ffts/XC671592-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GHCWRCLUBR/ffts/XC671592-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GHCWRCLUBR/ffts/XC671592-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GHCWRCLUBR/ffts/XC671592-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:01,23:23,2021-08-23,2021-09-01,[''],"Recording was made from my garden in a semi-rural/suburban area on the outskirts of Coventry UK. The area borders farmland and is well wooded. Date 23/08/21, time 23:23. Weather conditions, clear, 13ºC, wind direction:ENE wind speed:5 mph, very good visibility. No modification to recording",no,no
671437,Haematopus,ostralegus,,Eurasian Oystercatcher,David Tattersley,United Kingdom,"Great Britain (near  Huddersfield), West Yorkshire, England",53.6719,-1.7852,150,nocturnal flight call,//www.xeno-canto.org/671437,//www.xeno-canto.org/671437/download,XC671437-Oystercatcher&?.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MLFEJSNPJS/ffts/XC671437-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MLFEJSNPJS/ffts/XC671437-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MLFEJSNPJS/ffts/XC671437-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MLFEJSNPJS/ffts/XC671437-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:17,03:43,2021-07-30,2021-09-01,[''],,no,no
671075,Haematopus,ostralegus,,Eurasian Oystercatcher,Jorge Leitão,Portugal,"Litoral de Moledo, Caminha, Viana do Castelo",41.8354,-8.8747,10,call,//www.xeno-canto.org/671075,//www.xeno-canto.org/671075/download,XC671075-Haematopus ostralegus-2021.08.29_12.41_02.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC671075-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC671075-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC671075-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC671075-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,12:41,2021-08-29,2021-08-30,[''],sea,yes,no
670143,Haematopus,ostralegus,,Eurasian Oystercatcher,Manceau Lionel,France,"Coudray, Mayenne, Pays de la Loire",47.7907,-0.6461,70,"flight call, nocturnal flight call",//www.xeno-canto.org/670143,//www.xeno-canto.org/670143/download,XC670143-210820_0909_Huitrier pie (2ind.)_4h43.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YCPZMKPRPA/ffts/XC670143-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YCPZMKPRPA/ffts/XC670143-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YCPZMKPRPA/ffts/XC670143-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YCPZMKPRPA/ffts/XC670143-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,04:30,2021-08-20,2021-08-23,[''],,no,no
669749,Haematopus,ostralegus,,Eurasian Oystercatcher,Oscar Campbell,Ireland,Ards Forest Park & Friary,55.1569,-7.8802,80,"adult, alarm call, call",//www.xeno-canto.org/669749,//www.xeno-canto.org/669749/download,XC669749-210707_EurasianOystercatcher_extended calling_Ards_OC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC669749-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC669749-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC669749-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC669749-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,3:18,07:00,2021-07-07,2021-08-22,"['Corvus cornix', 'Columba palumbus', 'Thalasseus sandvicensis']","Very loud calls from pair on rocky shore below path; when third bird flew in, original birds giving even more aggressive calling and chasing; third bird eventually flew off and original pair continued with long, frenzied bout of calling. Also Hooded Crow, Woodpigeon and Sandwich Tern.",yes,no
669074,Haematopus,ostralegus,,Eurasian Oystercatcher,Juan Pita-Romero Caamaño,Spain,"Ferrol (cerca de Narón), A Coruña, Galicia",43.4917,-8.2014,10,nocturnal flight call,//www.xeno-canto.org/669074,//www.xeno-canto.org/669074/download,XC669074-ostrero 0500 18082021.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QXIIPMBSII/ffts/XC669074-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QXIIPMBSII/ffts/XC669074-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QXIIPMBSII/ffts/XC669074-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QXIIPMBSII/ffts/XC669074-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:17,05:00,2021-08-18,2021-08-19,[''],,no,unknown
668664,Haematopus,ostralegus,ostralegus,Eurasian Oystercatcher,Albert Noorlander,Netherlands,"IJsselstein, IJsselstein, Utrecht",52.0149,5.0378,0,nocturnal flight call,//www.xeno-canto.org/668664,//www.xeno-canto.org/668664/download,XC668664-Scholekster 20210806-01a (NFC 04.07).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC668664-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC668664-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC668664-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC668664-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,04:07,2021-08-06,2021-08-16,[''],,no,no
668494,Haematopus,ostralegus,,Eurasian Oystercatcher,Sean Morris,United Kingdom,"Rùm, Highland Council, Scotland",57.0161,-6.2787,10,"life stage uncertain, nocturnal flight call, sex uncertain, wing beats",//www.xeno-canto.org/668494,//www.xeno-canto.org/668494/download,XC668494-oystercatcher 22 july 2021 0027.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC668494-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC668494-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC668494-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC668494-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:55,00:27,2021-07-22,2021-08-15,['Numenius arquata'],,no,no
667913,Haematopus,ostralegus,,Eurasian Oystercatcher,Irish Wildlife Sounds,Ireland,"Ireland (near  Tacumshane), Wexford, County Wexford",52.1977,-6.3925,0,flight call,//www.xeno-canto.org/667913,//www.xeno-canto.org/667913/download,XC667913-Oystercatcher_Flight Call_Lady's Island Lake_250521_A+.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PAEQEUHPFQ/ffts/XC667913-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PAEQEUHPFQ/ffts/XC667913-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PAEQEUHPFQ/ffts/XC667913-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PAEQEUHPFQ/ffts/XC667913-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:26,13:00,2021-05-25,2021-08-12,"['Sterna hirundo', 'Thalasseus sandvicensis', 'Sterna paradisaea']",,yes,no
