id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
669895,Poecile,palustris,,Marsh Tit,Uku Paal,Estonia,"Vaibla, Kolga-Jaani Parish, Viljandi maakond",58.4042,26.0795,40,call,//www.xeno-canto.org/669895,//www.xeno-canto.org/669895/download,XC669895-POEPAL VAIBLA 210810_3436.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC669895-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC669895-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC669895-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC669895-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:06,06:30,2021-08-10,2021-08-22,['Pyrrhula pyrrhula'],"Various calls - pitche, pitche-dada, tsip. HPF NR",yes,no
668247,Poecile,palustris,,Marsh Tit,Filippo Ceccolini,Italy,"Spedaletto Bv. Vogognano Al Km.165,250, Provincia di Arezzo, Toscana",43.5991,11.8657,280,"call, sex uncertain",//www.xeno-canto.org/668247,//www.xeno-canto.org/668247/download,XC668247-r 2021-01-31 Presso Baciano.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VWVVYWSUYS/ffts/XC668247-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VWVVYWSUYS/ffts/XC668247-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VWVVYWSUYS/ffts/XC668247-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VWVVYWSUYS/ffts/XC668247-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,15:00,2021-01-31,2021-08-14,[''],Approximate time,yes,no
667049,Poecile,palustris,,Marsh Tit,Romuald Mikusek,Poland,"Kudowa-Zdrój, Powiat kłodzki, Województwo dolnośląskie",50.4384,16.2385,380,"adult, sex uncertain, song",//www.xeno-canto.org/667049,//www.xeno-canto.org/667049/download,XC667049-200305_1495-5.30_Poe.pal-song.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667049-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667049-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667049-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667049-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:14,05:30,2021-03-05,2021-08-08,"['Fringilla coelebs', 'Turdus merula']","park, on the top of the tree",yes,no
666774,Poecile,palustris,,Marsh Tit,Romuald Mikusek,Poland,"Kudowa-Zdrój, Powiat kłodzki, Województwo dolnośląskie",50.4384,16.2385,380,"adult, sex uncertain, song",//www.xeno-canto.org/666774,//www.xeno-canto.org/666774/download,XC666774-200305_1493-5.30_Poe.pal-śp.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC666774-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC666774-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC666774-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC666774-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:18,05:30,2021-03-05,2021-08-07,"['Turdus philomelos', 'Fringilla coelebs']","park, on the top of the tree",yes,no
666251,Poecile,palustris,,Marsh Tit,Micha Luhn,Germany,"Oberhavel (near  Stechlin), Brandenburg",53.1095,13.0469,70,call,//www.xeno-canto.org/666251,//www.xeno-canto.org/666251/download,XC666251-Poecile_palustris_A_ML_HP1000Hz12dB_210801_0563.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YSPYKACHLO/ffts/XC666251-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YSPYKACHLO/ffts/XC666251-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YSPYKACHLO/ffts/XC666251-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YSPYKACHLO/ffts/XC666251-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,08:25,2021-08-01,2021-08-03,['Chloris chloris'],"bird came to a feeder; about 2m away;
Tascam DR-100 MKiii + 40cm parabola;
wav: 48 kHz 24 bit; 12s;
mp3: 320 kbps; HP 1000 Hz 12 dB; 12s;",yes,no
665261,Poecile,palustris,,Marsh Tit,Roman Cheprasov,Belarus,"Dubrava, Brescki rajon, Brest Region",51.8657,23.8136,160,"adult, call",//www.xeno-canto.org/665261,//www.xeno-canto.org/665261/download,XC665261-R00126.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JJNENFTWPB/ffts/XC665261-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JJNENFTWPB/ffts/XC665261-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JJNENFTWPB/ffts/XC665261-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JJNENFTWPB/ffts/XC665261-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:33,06:10,2021-07-23,2021-07-28,[''],Another call of Eurasian Blue Tit?,no,no
665259,Poecile,palustris,,Marsh Tit,Roman Cheprasov,Belarus,"Dubrava, Brescki rajon, Brest Region",51.8657,23.8136,160,"adult, call",//www.xeno-canto.org/665259,//www.xeno-canto.org/665259/download,XC665259-R00125.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JJNENFTWPB/ffts/XC665259-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JJNENFTWPB/ffts/XC665259-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JJNENFTWPB/ffts/XC665259-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JJNENFTWPB/ffts/XC665259-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:29,06:08,2021-07-23,2021-07-28,['Corvus corax'],Is it Cyanistes caeruleus?,no,no
663338,Poecile,palustris,,Marsh Tit,Uku Paal,Estonia,"Aardlapalu, Kastre Rural Municipality, Tartu maakond",58.3247,26.7533,30,call,//www.xeno-canto.org/663338,//www.xeno-canto.org/663338/download,XC663338-POEPAL AARDLA 210710_3322.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC663338-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC663338-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC663338-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC663338-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,06:00,2021-07-10,2021-07-16,[''],HPF NR,yes,no
657622,Poecile,palustris,hellmayri,Marsh Tit,Ding Li Yong,South Korea,Ganghwa Island,37.778,126.424,80,song,//www.xeno-canto.org/657622,//www.xeno-canto.org/657622/download,XC657622-Marsh Tit_Ganghwa1_DLY.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC657622-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC657622-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC657622-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC657622-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:09,09:30,2012-01-14,2021-06-19,[''],,yes,no
657501,Poecile,palustris,,Marsh Tit,Camille Monnet,France,"Arrondissement de Saint-Girons (near  Bethmale), Ariège, Occitanie",42.8613,1.0675,1400,"adult, song",//www.xeno-canto.org/657501,//www.xeno-canto.org/657501/download,XC657501-210323-000-PAPALU.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NQQIBFCBXZ/ffts/XC657501-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NQQIBFCBXZ/ffts/XC657501-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NQQIBFCBXZ/ffts/XC657501-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NQQIBFCBXZ/ffts/XC657501-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,18:30,2021-03-23,2021-06-18,[''],,yes,no
