id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
674482,Gallinula,chloropus,,Common Moorhen,Beatrix Saadi-Varchmin,Germany,"Sumpf hi. Klingelbächel, near Thaining,Landsberg am Lech (near  Thaining), Oberbayern, Bayern",47.9699,10.9755,650,"adult, aggressive call, alarm call",//www.xeno-canto.org/674482,//www.xeno-canto.org/674482/download,"XC674482-TEICHHUHN, Aggression  10.09.2021 Th. B.  9_18  VOC_210910-8846.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674482-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674482-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674482-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674482-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,09:18,2021-09-10,2021-09-14,['Sylvia atricapilla'],seen even two juv. in this breeding area of Common Moorhen,yes,no
674480,Gallinula,chloropus,,Common Moorhen,Beatrix Saadi-Varchmin,Germany,"Sumpf hi. Klingelbächel, near Thaining,Landsberg am Lech (near  Thaining), Oberbayern, Bayern",47.9699,10.9755,650,"adult, flight call",//www.xeno-canto.org/674480,//www.xeno-canto.org/674480/download,XC674480-TEICHHUHN. Flugruf  10.09.2021  Th.B.  9_18  VOC_210910-8846.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674480-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674480-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674480-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674480-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:02,09:18,2021-09-10,2021-09-14,[''],seen even two juv. in this breeding area of Common Moorhen,yes,no
674478,Gallinula,chloropus,,Common Moorhen,Beatrix Saadi-Varchmin,Germany,"Sumpf hi. Klingelbächel, near Thaining,Landsberg am Lech (near  Thaining), Oberbayern, Bayern",47.9699,10.9755,650,"adult, call",//www.xeno-canto.org/674478,//www.xeno-canto.org/674478/download,XC674478-TEICHHUHN 10.09.2021  Th.B.  9_18  VOC_210910-8846.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674478-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674478-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674478-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC674478-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,09:18,2021-09-10,2021-09-14,['Sylvia atricapilla'],seen even two juv. in this breeding area of Common Moorhen,yes,no
672507,Gallinula,chloropus,,Common Moorhen,Sven Kransel,Germany,"Uelzen (near  Eimke), Niedersachsen",52.8769,10.2875,100,call,//www.xeno-canto.org/672507,//www.xeno-canto.org/672507/download,XC672507-210902_0160 Unbestimmt 1 Schießbahn Rheinmetall.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZQQGDKDOZQ/ffts/XC672507-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZQQGDKDOZQ/ffts/XC672507-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZQQGDKDOZQ/ffts/XC672507-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZQQGDKDOZQ/ffts/XC672507-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,06:50,2021-09-02,2021-09-05,['Lophophanes cristatus'],"Tascam DR-05X – unattended-72h-recording - not modified. Any help appreciated. Thanks. Habitat: Forest, but this seems perhaps a migrating bird.",no,no
671748,Gallinula,chloropus,,Common Moorhen,CLAES Victor,Belgium,"Orp-Jauche, Brabant Wallon, Wallonie",50.7014,4.9395,100,flight call,//www.xeno-canto.org/671748,//www.xeno-canto.org/671748/download,XC671748-210902_04h44min_Gallinule_poule_d_eau_Marilles.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/URIFNYGGHK/ffts/XC671748-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/URIFNYGGHK/ffts/XC671748-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/URIFNYGGHK/ffts/XC671748-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/URIFNYGGHK/ffts/XC671748-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:01,04:44,2021-09-02,2021-09-02,[''],,no,no
667221,Gallinula,chloropus,,Common Moorhen,Agris Celmins,Latvia,"Penderi, Valles pagasts",56.4846,24.7803,40,call,//www.xeno-canto.org/667221,//www.xeno-canto.org/667221/download,"XC667221-Gallinula chloropus Common Moorhen 2007-03-26 0643 Penderi, Valles pagasts 56.484567, 24.780301 (not seen) Telinga 5W.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/AQWMZXSOED/ffts/XC667221-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AQWMZXSOED/ffts/XC667221-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AQWMZXSOED/ffts/XC667221-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AQWMZXSOED/ffts/XC667221-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:25,06:43,2007-03-26,2021-08-09,[''],,no,no
663673,Gallinula,chloropus,,Common Moorhen,Geert Custers,Netherlands,"Merselo, Venray, Limburg",51.5228,5.9244,30,"adult, nocturnal flight call, sex uncertain",//www.xeno-canto.org/663673,//www.xeno-canto.org/663673/download,XC663673-waterhoen 18-7 2.52h.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDMNJAJJEN/ffts/XC663673-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDMNJAJJEN/ffts/XC663673-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDMNJAJJEN/ffts/XC663673-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDMNJAJJEN/ffts/XC663673-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,03:00,2021-07-18,2021-07-18,[''],,unknown,unknown
663491,Gallinula,chloropus,,Common Moorhen,Will Scott,United Kingdom,"Great Britain (near  Hunmanby), North Yorkshire, England",54.1818,-0.3203,60,"flight call, nocturnal flight call",//www.xeno-canto.org/663491,//www.xeno-canto.org/663491/download,XC663491-Moorhen.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QGXKACSKJD/ffts/XC663491-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QGXKACSKJD/ffts/XC663491-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QGXKACSKJD/ffts/XC663491-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QGXKACSKJD/ffts/XC663491-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,00:29,2021-07-17,2021-07-17,[''],,no,no
659230,Gallinula,chloropus,,Common Moorhen,Simon Elliott,United Kingdom,"near  Hessay, York, England",53.9741,-1.2046,20,"adult, alarm call, female",//www.xeno-canto.org/659230,//www.xeno-canto.org/659230/download,XC659230-MH-d80e.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC659230-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC659230-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC659230-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC659230-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:13,07:30,2021-06-12,2021-06-26,[''],alarm response to gas gun bird scarer,yes,no
659003,Gallinula,chloropus,,Common Moorhen,Simon Elliott,United Kingdom,"near  Hessay, York, England",53.9741,-1.2046,20,"call, juvenile",//www.xeno-canto.org/659003,//www.xeno-canto.org/659003/download,XC659003-mh-d79a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC659003-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC659003-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC659003-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC659003-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:05,16:30,2021-06-23,2021-06-25,[''],chittering call when chased by parents; age 37 days post-hatching; unmodified,yes,no
