id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
671326,Caprimulgus,europaeus,,European Nightjar,Sergi,Spain,"Santa Coloma de Queralt, Catalunya",41.5427,1.3851,700,"life stage uncertain, nocturnal flight call",//www.xeno-canto.org/671326,//www.xeno-canto.org/671326/download,XC671326-20210822_0602 Enganyapastors XC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MXZXIBQXAS/ffts/XC671326-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MXZXIBQXAS/ffts/XC671326-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MXZXIBQXAS/ffts/XC671326-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MXZXIBQXAS/ffts/XC671326-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,06:02,2021-08-22,2021-08-31,[''],,no,no
670979,Caprimulgus,europaeus,,European Nightjar,Martin Wood,United Kingdom,Wimborne Dorset,50.8024,-1.9836,20,nocturnal flight call,//www.xeno-canto.org/670979,//www.xeno-canto.org/670979/download,XC670979-untitled.1 mp3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC670979-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC670979-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC670979-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC670979-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,01:00,2021-08-28,2021-08-29,[''],"Recorded this call last night and have no idea were to begin with this one anyone able to help with the id please or point me in the right direction to start looking up the species.
High pass filter and noise reduction used.",no,no
668641,Caprimulgus,europaeus,,European Nightjar,Jarek Matusiak,Croatia,"Pag (near  Kolan), Općina Pag, Zadarska županija",44.4964,14.9593,110,"adult, flight call",//www.xeno-canto.org/668641,//www.xeno-canto.org/668641/download,XC668641-JAREK-MATUSIAK-A-1629 (6) lelek w locie ed.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668641-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668641-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668641-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668641-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:24,06:00,2021-08-16,2021-08-16,['Burhinus oedicnemus'],,unknown,unknown
668492,Caprimulgus,europaeus,meridionalis,European Nightjar,Jarek Matusiak,Croatia,"Pag (near  Novalja), Općina Novalja, Ličko-senjska županija",44.594,14.8349,10,"adult, male, song",//www.xeno-canto.org/668492,//www.xeno-canto.org/668492/download,XC668492-JAREK-MATUSIAK-A-1623 (2) lelek 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668492-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668492-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668492-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668492-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:12,04:00,2021-08-15,2021-08-15,[''],,unknown,unknown
668491,Caprimulgus,europaeus,meridionalis,European Nightjar,Jarek Matusiak,Croatia,"Pag (near  Novalja), Općina Novalja, Ličko-senjska županija",44.594,14.8349,10,"adult, flight call, male, song",//www.xeno-canto.org/668491,//www.xeno-canto.org/668491/download,XC668491-JAREK-MATUSIAK-A-1623 (2) lelek w locie ed.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668491-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668491-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668491-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC668491-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:03,04:00,2021-08-15,2021-08-15,[''],,unknown,unknown
667586,Caprimulgus,europaeus,,European Nightjar,Romuald Mikusek,Poland,"Sobibór Forest, Włodawa, włodawski, lubelskie",51.4209,23.5976,170,"adult, call, sex uncertain",//www.xeno-canto.org/667586,//www.xeno-canto.org/667586/download,XC667586-210523_2086-22.00_Capr.eur-call.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667586-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667586-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667586-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667586-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,22:00,2021-05-23,2021-08-11,[''],"pine forest, 2 short calls",no,no
667560,Caprimulgus,europaeus,,European Nightjar,Romuald Mikusek,Poland,"Sobibór Forest, Włodawa, włodawski, lubelskie",51.4209,23.5976,170,"adult, sex uncertain, song",//www.xeno-canto.org/667560,//www.xeno-canto.org/667560/download,XC667560-210523_2090-22.10_Capri.eur.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667560-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667560-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667560-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667560-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:56,22:10,2021-05-23,2021-08-11,[''],pine forest,no,no
667291,Caprimulgus,europaeus,,European Nightjar,Romuald Mikusek,Poland,"Sobibór Forest, Włodawa, włodawski, lubelskie",51.4209,23.5976,170,"song, wing-clapping",//www.xeno-canto.org/667291,//www.xeno-canto.org/667291/download,XC667291-210526_2109-23.15_Car.europ_toki.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667291-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667291-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667291-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667291-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:05,23:15,2021-05-26,2021-08-09,[''],pine forest,yes,no
667267,Caprimulgus,europaeus,,European Nightjar,Romuald Mikusek,Poland,"Sobibór Forest, Włodawa, włodawski, lubelskie",51.4209,23.5976,170,"song, wing-clapping",//www.xeno-canto.org/667267,//www.xeno-canto.org/667267/download,XC667267-210526_2110-23.20_Car.europ_toki.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667267-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667267-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667267-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC667267-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:11,23:20,2021-05-26,2021-08-09,[''],pine forest,yes,no
666678,Caprimulgus,europaeus,,European Nightjar,Lars Mogensen,Denmark,"Tjele, Viborg Municipality, Central Denmark Region",56.4545,9.6331,10,"adult, nocturnal flight call, sex uncertain",//www.xeno-canto.org/666678,//www.xeno-canto.org/666678/download,XC666678-Natravn Øby d 3 august kl. 22.28.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UOMNPGBULW/ffts/XC666678-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UOMNPGBULW/ffts/XC666678-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UOMNPGBULW/ffts/XC666678-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UOMNPGBULW/ffts/XC666678-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,22:30,2021-03-08,2021-08-06,[''],,no,no
665611,Caprimulgus,europaeus,,European Nightjar,Juha Saari,Finland,"Helsinki, Santahamina",60.134,25.0301,10,nocturnal flight call,//www.xeno-canto.org/665611,//www.xeno-canto.org/665611/download,XC665611-capeur_202107_27_28_yom_0327v.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC665611-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC665611-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC665611-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC665611-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,03:27,2021-07-28,2021-07-30,[''],someone bush cricket is also in the voice,no,no
664464,Caprimulgus,europaeus,,European Nightjar,Gilles Bavay,Belgium,"Knesselare, Oost-Vlaanderen, Vlaanderen",51.1554,3.4598,20,"adult, male, song",//www.xeno-canto.org/664464,//www.xeno-canto.org/664464/download,XC664464-Caprimulgus_europaeus_202107192308_5-11554_3-4598.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FIRUZMMLSA/ffts/XC664464-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FIRUZMMLSA/ffts/XC664464-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FIRUZMMLSA/ffts/XC664464-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FIRUZMMLSA/ffts/XC664464-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:47,23:00,2021-07-19,2021-07-22,[''],"* The recording was not modified.
* Bird singing from somewhat solitary tree (Pinaceae sp?) on the edge of oak-birch forest and open heather.
* Flew away after some minutes of singing.
* Sex and life stage determined due to song.
* Clear sky, Moon in first quarter, warm night.",yes,no
