id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
674680,Turdus,iliacus,,Redwing,Albert Lastukhin,Russian Federation,"Momskiy Natsional'nyy Ulus, Sakha Republic",65.9163,145.3007,420,flight call,//www.xeno-canto.org/674680,//www.xeno-canto.org/674680/download,"XC674680-Turdus iliacus 210617_001,р. Мома, Ытырба,утро,C fl call.MP3","{'small': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC674680-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC674680-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC674680-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC674680-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:10,03:30,2021-06-17,2021-09-15,[''],,no,no
673814,Turdus,iliacus,,Redwing,Albert Lastukhin,Russian Federation,"Yakutsk, Gorod Yakutsk, Саха /Якутия/ Републиц",62.0843,129.7447,100,"adult, male, song",//www.xeno-canto.org/673814,//www.xeno-canto.org/673814/download,"XC673814-Turdus iliacus  210602_038,Якутск,BBf.MP3","{'small': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC673814-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC673814-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC673814-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC673814-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:10,21:00,2021-06-02,2021-09-12,[''],,yes,no
673811,Turdus,iliacus,,Redwing,Albert Lastukhin,Russian Federation,"Yakutsk, Gorod Yakutsk, Саха /Якутия/ Републиц",62.0843,129.7447,100,"adult, male, song",//www.xeno-canto.org/673811,//www.xeno-canto.org/673811/download,"XC673811-Turdus iliacus  210602_038,Якутск,ABB.MP3","{'small': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC673811-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC673811-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC673811-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC673811-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:42,21:00,2021-06-02,2021-09-12,[''],,yes,no
671525,Turdus,iliacus,,Redwing,Niels Van Doninck,Norway,"Lierne, Trøndelag",64.4711,14.0076,340,song,//www.xeno-canto.org/671525,//www.xeno-canto.org/671525/download,XC671525-Koperwiek 20210520 2225 1a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671525-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671525-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671525-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671525-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:31,22:25,2021-05-20,2021-09-01,"['Erithacus rubecula', 'Emberiza rustica', 'Turdus philomelos', 'Scolopax rusticola']",,no,no
671519,Turdus,iliacus,,Redwing,Niels Van Doninck,Norway,"Sandvika, Lierne, Trøndelag",64.4262,13.4836,480,"call, song",//www.xeno-canto.org/671519,//www.xeno-canto.org/671519/download,XC671519-Koperwiek 20210512 1230 2a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671519-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671519-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671519-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671519-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,5:18,12:30,2021-05-12,2021-09-01,"['Anthus pratensis', 'Fringilla montifringilla', 'Turdus iliacus']",Same bird as 671498. At around 2:12 the bird heads for the ground to start foraging. While doing this it continuously makes these 'Tsiie' calls. So it doesn't seem to be an alarm call at all.,yes,no
671518,Turdus,iliacus,,Redwing,Niels Van Doninck,Norway,"Sandvika, Lierne, Trøndelag",64.4262,13.4836,480,"alarm call, song",//www.xeno-canto.org/671518,//www.xeno-canto.org/671518/download,XC671518-Koperwiek 20210512 1230 1ab.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671518-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671518-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671518-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671518-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,6:33,12:30,2021-05-12,2021-09-01,[''],Same bird as 671498,yes,no
671504,Turdus,iliacus,,Redwing,Niels Van Doninck,Norway,"Sandvika, Lierne, Trøndelag",64.4262,13.4836,480,"alarm call, song",//www.xeno-canto.org/671504,//www.xeno-canto.org/671504/download,XC671504-Koperwiek 20210512 1200 2a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671504-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671504-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671504-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671504-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,4:58,12:00,2021-05-12,2021-09-01,"['Turdus iliacus', 'Turdus pilaris', 'Anthus pratensis', 'Motacilla cinerea']",Same bird as XC671498,yes,no
671498,Turdus,iliacus,,Redwing,Niels Van Doninck,Norway,"Sandvika, Lierne, Trøndelag",64.4262,13.4836,480,song,//www.xeno-canto.org/671498,//www.xeno-canto.org/671498/download,XC671498-Koperwiek 20210512 1200 1a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671498-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671498-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671498-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671498-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:59,12:00,2021-05-12,2021-09-01,['Turdus iliacus'],,yes,no
671495,Turdus,iliacus,,Redwing,Niels Van Doninck,Norway,"Sandvika, Lierne, Trøndelag",64.4259,13.479,480,"alarm call, song",//www.xeno-canto.org/671495,//www.xeno-canto.org/671495/download,XC671495-Koperwiek 20210510 1115a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671495-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671495-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671495-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671495-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:14,11:15,2021-05-10,2021-09-01,"['Turdus pilaris', 'Turdus iliacus']",,yes,no
671494,Turdus,iliacus,,Redwing,Niels Van Doninck,Norway,"Sandvika, Lierne, Trøndelag",64.4259,13.479,480,song,//www.xeno-canto.org/671494,//www.xeno-canto.org/671494/download,XC671494-Koperwiek 20210510 1055a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671494-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671494-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671494-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC671494-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:15,10:55,2021-05-10,2021-09-01,"['Turdus pilaris', 'Fringilla coelebs']",,yes,no
